QTR,SCORE DIFF. (O),SITUATION (O),DRIVE #,DRIVE PLAY #,1ST DN #,DN,DIST,D&D,YARD LN,Field Zone,HASH,OFF TEAM,PERS,OFF FORM,BACKF SET,MOTION,PROTECTION,OFF PLAY,PLAY CATEGORY,RESULT,PLAY TYPE,PRE-SNAP READ,POST-SNAP READ,ZONE THROWN,GN/LS,DEF TEAM,DEF PERSONNEL,DEF FRONT,STUNT,BLITZ,NBR,COVERAGE,DEF ADJ
3,-38,OPENERS 2ND,9,2,0,2,7,2&7+,-15,Backed Up (-1 to -19),L,CONU,15,32,GW,1W ZIPPER,60 SOLID,"FLORIDA TRADE, TWIX",DROPBACK,Incomplete,Pass,,,DEEP 1/3 ST,0,LVL,30,BANDIT,,,4,MATCH,
1,-3,,2,2,0,2,2,2&2-,-18,Backed Up (-1 to -19),L,CONU,15,41,G0,4S BEND,,IZ BEND ST OPT SEATTLE,RPO,,Run,BUBBLE SCREEN ST (#),,,-2,SHER,NICKEL 30,EVEN,,,4,35 DC,
4,-6,,11,2,0,2,4,2&3-6,-17,Backed Up (-1 to -19),L,CONU,15,32,G0,3S BEND,,IZ BEND ST OPT OHIO GO,RPO,Complete,Pass,,,FLAT WK,8,UDM,40,TRIO,2 CHASE,,5M,10,
3,-38,OPENERS 2ND,9,1,0,0,10,0&10,-12,Backed Up (-1 to -19),R,CONU,15,41,G0,4S REACH,,IZ ST OPT BUBBLE SCREEN WK,RPO,Rush,Run,SEATTLE WK (#),,,3,LVL,30,BANDIT,,,3,36,
1,0,OPENERS 1ST,1,2,0,2,5,2&3-6,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,3S BEND,PA 60 SOLID,"IZ LOCK ST PA JONES, APACHE",PA POCKET,Incomplete,Pass,,,CURL WK,0,SHER,40,BANDIT JET,,,3,36 DC,
1,-9,,5,2,0,2,6,2&3-6,-14,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SLIDE STR,"FLORIDA TRADE, JONES",QUICK,Scramble,Pass,,,,9,MCGILL,30,BANDIT,,WAFFLE,5M,COMBO,
3,-28,,11,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,G0,1W ZIP,60 SLIDE STR,"AUBURN, PLUNGE",DROPBACK,Complete,Pass,,,HOOK WK,0,LVL,40,WEAK,,,5W,34,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-19,Backed Up (-1 to -19),R,CONU,15,32,GW,,60 SOLID,JONES,DROPBACK,Incomplete,Pass,,,POST,0,MCGILL,40,JOKER,,,4,ROTATE SWITCH,
4,-2,2 MIN,13,1,0,0,10,0&10,-18,Backed Up (-1 to -19),M,CONU,15,23,GS,,60 SOLID,"AUBURN, OKLAHOMA",DROPBACK,Scramble,Pass,,,,10,UDM,40,BANDIT,,SAW,5S,43,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,3S BLAST,,IZ LOCK ST BLAST,RUN,Rush,Run,,,,15,LVL,30,BANDIT,,,5S,0,
2,-19,,5,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,GW,"T SCAT ST, 2W BOMBER",60 BOMBER SOLID,JONES-NASCAR SUB,DROPBACK,Complete,Pass,,,POST,19,LVL,40,WEAK,,,4,35 SC,
1,-3,,3,1,0,0,10,0&10,-16,Backed Up (-1 to -19),R,CONU,15,32,G0,,,IZ ST READ OHIO-GO,RPO,,Run,,,,4,SHER,NICKEL 30,STETSON,,"J B+, JET",5W,34,
4,-19,,18,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SOLID,"SILVA, JONES",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,0,MCGILL,40,OUT,RAT/QK,,4,HALO,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,2W LEAD,,IZ LOCK ST BLAST OPT SEATTLE,RPO,Complete,Pass,HOTEL ST (# & LEVERAGE),,CURL ST,15,LVL,40,STRONG,,JET,5S,43,
2,-28,2 MIN,8,1,0,0,10,0&10,-15,Backed Up (-1 to -19),R,CONU,15,32,G0,2W REACH,PA 70,"RACE R-HOTEL, Z-POST",PA POCKET,Incomplete,Pass,,,SEAM WK,0,LVL,30,BANDIT,,,3,36,
3,-25,,10,2,0,2,6,2&3-6,-30,Coming Out (-20 to -39),R,CONU,15,32,G0,,60 SLIDE STR,"FLORIDA TRADE, JONES",DROPBACK,Incomplete,Pass,,,CURL ST,11,LVL,40,COWBOY,,,6,10,
2,-21,,6,1,0,0,10,0&10,-14,Backed Up (-1 to -19),R,CONU,15,23,GS,1W ZIPPER,60 SOLID,"COD TRADE, FLORIDA",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,0,LVL,40,STRONG,,,4,MATCH,
1,-7,,3,2,1,1,10,1&10,-19,Backed Up (-1 to -19),L,CONU,15,32,G0,2W BEND,,IZ BEND WK,RUN,Rush,Run,"HOSS ST (EDGE CONTROL, LEVERAGE), SEATTLE WK (LEVERAGE)",,,11,UDM,40,EVEN,,,4,44,
2,3,,7,1,0,0,10,0&10,-13,Backed Up (-1 to -19),R,CONU,15,23,G0,,60 SOLID,"HOTEL, SILVA",DROPBACK,Complete,Pass,,,DEEP 1/3 WK,49,SHER,NICKEL 40,STETSON,,,5W,10,
3,-25,,10,1,0,0,10,0&10,-26,Coming Out (-20 to -39),R,CONU,15,32,G0,1W ZIPPER,,IZ ST READ JONES,RPO,,Run,,,,0,LVL,40,WEAK,,,4,"STUBBIE, BRACKET",
4,-6,,11,1,0,0,10,0&10,-11,Backed Up (-1 to -19),L,CONU,15,32,G0,2W LEAD,,IZ LOCK ST BLAST OPT SEATTLE,RPO,Rush,Run,,,,6,UDM,40,EVEN,"RN, QT",,4,43,
1,0,OPENERS 1ST,1,1,0,0,10,0&10,-11,Backed Up (-1 to -19),L,CONU,15,41 WIDE BUNCH ST,G0,,,IZ LOCK ST OPT SEATTLE,RPO,Complete,Pass,BUBBLE SCREEN ST (#),,SWING ST,10,SHER,40,DEEP TRIO,,SAW,5S,34,
2,-4,2 MIN,6,1,0,0,10,0&10,-10,Backed Up (-1 to -19),L,CONU,15,32,G0,2W REACH,,IZ ST SEATTLE,RPO,Incomplete,Pass,,,CURL WK,0,UDM,40,STETSON,,,5S,43,
4,-7,2 MIN,12,1,0,0,10,0&10,-10,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SOLID,"Z-VIRGINIA, JONES",DROPBACK,Complete,Pass,,,FLAT WK,11,UDM,40,EVEN,"NQ, TAR",,4,44,
1,-9,,5,1,0,0,10,0&10,-10,Backed Up (-1 to -19),R,CONU,15,32,G0,,,IZ ST READ JONES,RPO,,Run,HOTEL ST (# & LEVERAGE),,,4,MCGILL,40,IN,WEAK BANG,,4,DEUCES,
4,-15,,15,1,0,0,10,0&10,-10,Backed Up (-1 to -19),L,CONU,15,32,G0,,60 SLIDE STR,"SILVA, HOTEL",DROPBACK,Complete,Pass,,,DEEP 1/3 ST,31,MCGILL,40,CB DEEP,RUN/ATTACK,,5M,BLACK,
1,-3,,2,1,0,0,10,0&10,-10,Backed Up (-1 to -19),L,CONU,15,41,G0,,,IZ LOCK ST OPT SEATTLE,RPO,,Run,BUBBLE SCREEN ST (#),,,7,SHER,NICKEL 30,STETSON,,J B+,4,35 WC,
3,-28,,11,2,0,2,10,2&7+,-35,Coming Out (-20 to -39),L,CONU,15,32,GW,,50 SOLID,CHOPPER,DROPBACK,Complete,Pass,,,HOOK WK,0,LVL,NICKEL 40,STETSON MUG,"CHILI, CHASE STR",,5M,34 SC,
4,-6,,12,1,0,0,10,0&10,-7,Backed Up (-1 to -19),L,CONU,15,32 WIDE BUNCH ST,G0,2W REACH,,IZ ST OPT SEATTLE,RPO,Complete,Pass,SPACING,,CURL WK,12,UDM,40,TRIO,,,4,2 MAN,
1,-5,,3,1,0,0,10,0&10,-7,Backed Up (-1 to -19),L,CONU,15,32,G0,,PA 60,"HOTEL PUMP, JONES",PA POCKET,Incomplete,Pass,,,SEAM ST,0,LVL,40,STRONG,,JET,5W,34,
2,-18,,9,1,0,0,10,0&10,-5,Backed Up (-1 to -19),L,CONU,15,32 WIDE BUNCH ST,G0,,60 SLIDE STR,JONES TWEAK,DROPBACK,Complete,Pass,,,FLAT WK,15,MCGILL,40,RS DEEP,RUN/KNIFE,,5M,BLACK,
1,-7,,3,1,0,0,10,0&10,-4,Backed Up (-1 to -19),L,CONU,15,32,G0,2W LEAD,,IZ LOCK ST BLAST OPT SEATTLE,RPO,Complete,Pass,"HOSS ST (EDGE CONTROL, LEVERAGE)",,CURL WK,12,UDM,40,STETSON,STRIP,,5M,43,
2,-21,,7,1,0,0,10,0&10,-4,Backed Up (-1 to -19),L,CONU,15,41,G0,4S BEND,,IZ BEND ST OPT SEATTLE,RPO,Rush,Run,"HITCH SCREEN ST (#),",,,11,LVL,40,STRONG,"ATTACK, KNIFE",,4,35,
3,-28,,11,3,1,1,10,1&10,-48,Open Field (-40 to 40),L,CONU,15,32,G0,,,IZ ST READ JONES,RPO,Incomplete,Pass,,,FLAT WK,3,LVL,40,WEAK,,,4,35,
1,-10,,4,1,0,0,10,0&10,-1,Backed Up (-1 to -19),L,CONU,15,32,G0,2W REACH,,IZ ST OPT SEATTLE,RPO,Rush,Run,,,,0,LVL,40,WEAK,,,4,35,
3,-28,,11,6,2,2,7,2&7+,52,Open Field (-40 to 40),L,CONU,15,32,GW,,60 SOLID,"INS, SAIL",DROPBACK,Complete,Pass,,,FLAT WK,0,LVL,NICKEL 30,STETSON MUG,"TAR, WHACK",,5M,10,
2,-21,,7,2,1,1,10,1&10,-15,Backed Up (-1 to -19),L,CONU,15,41,GS,,60 SOLID,"FLORIDA TRADE, RACE",DROPBACK,Incomplete,Pass,,,DEEP 1/3 ST,0,LVL,40,STRONG,PIRATE,,4,MATCH,
1,0,OPENERS 1ST,1,2,0,2,10,2&7+,-19,Backed Up (-1 to -19),R,CONU,15,41 TO 32,GW,,60 SOLID,"JONES, RACE",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,0,MCGILL,40,JOKER,TAR MIX,,6,BLACK PEEL,
2,-21,,7,3,1,2,10,2&7+,-15,Backed Up (-1 to -19),L,CONU,15,42,EMPTY,,50 SOLID,"AUBURN R-VIRGINIA, JONES",DROPBACK,Complete,Pass,,,CURL ST,15,LVL,NICKEL 40,OUT,,,4,MATCH,
2,-28,2 MIN,8,2,0,2,10,2&7+,-15,Backed Up (-1 to -19),R,CONU,15,41,GS,,60 SOLID,"SQUIRE Z-HOTEL, RACE",DROPBACK,Penalty,Pass,,,POST,0,LVL,NICKEL 30,STETSON JET,,,4,MATCH,
2,-21,,6,2,0,2,10,2&7+,-14,Backed Up (-1 to -19),R,CONU,15,32,GW,,60 SOLID,"Y DRIVE, SAIL",DROPBACK,Complete,Pass,,,SWING WK,7,LVL,NICKEL 30,STETSON JET,,,5S,34,
2,-4,2 MIN,6,2,0,2,10,2&7+,-10,Backed Up (-1 to -19),L,CONU,15,32,G0,,60 SOLID,"Z-VIRGINIA, AUBURN",DROPBACK,Sack,Pass,,,,-5,UDM,40,EVEN,"NQ, TAR",,4,44 DC,
1,-5,,3,2,0,2,10,2&7+,-7,Backed Up (-1 to -19),L,CONU,15,32,GS,,60 SLIDE WK,"NASCAR, JONES",DROPBACK,Incomplete,Pass,,,FLAT ST,0,LVL,NICKEL 30,STETSON JET,,,3,45,
1,-10,,4,2,0,2,10,2&7+,-1,Backed Up (-1 to -19),L,CONU,15,32,G0,3S BEND,PA 60,IZ BEND ST PA AUBURN APACHE,PA POCKET,Incomplete,Pass,,,HOOK WK,0,LVL,NICKEL 30,STETSON MUG,,,3,36 DC,
2,-4,,5,2,0,2,12,2&7+,-19,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SOLID,CHOPPER,DROPBACK,Sack,Pass,,,,0,UDM,40,EVEN,"NQ, TAR",,4,44 DC,
3,-28,,11,4,1,2,10,2&7+,-48,Open Field (-40 to 40),L,CONU,15,32,G0,,60 SOLID,"Y DRIVE, APACHE",DROPBACK,Sack,Pass,,,,11,LVL,NICKEL 30,STETSON MUG,,,5S,34,
1,-9,,5,4,1,1,20,1&11+,-13,Backed Up (-1 to -19),R,CONU,15,32,G0,,,DRAW G LEAD WK,SCREEN/DRAW,,Run,,,,-1,MCGILL,30,BANDIT,,JET/HAM,5S,HOLD,
1,-9,,5,5,1,2,21,2&7+,-12,Backed Up (-1 to -19),R,CONU,15,41,G0,1S ZIPPER,60 SOLID,"AUBURN Z-FLAT Y-DIG, RACE",DROPBACK,Incomplete,Pass,,,FLAT ST,0,MCGILL,30,BANDIT,,,3,HALO,
4,-9,,11,2,0,2,1,2&2-,-36,Coming Out (-20 to -39),R,CONU,15,23,G0,3W 2W BEND,,IZ BEND WK READ FLAT SCREEN,RPO,Rush,Run,,,,3,UDM,40,EVEN,SMACK,,5M,10,
1,-7,,2,2,0,2,1,2&2-,-31,Coming Out (-20 to -39),R,CONU,42,32 DT DW +SING,0,T EDGE WK,,WEDGE WK,RUN,Rush,Run,,,,0,LVL,40,IN JET,,,5S,0,
3,-25,OPENERS 2ND,9,2,0,2,10,2&7+,44,Open Field (-40 to 40),R,CONU,15,32,G0,"FREEZE, 1W ZIPPER",60 SOLID,"AUBURN, SCISSOR",DROPBACK,Incomplete,Pass,,,POST,0,LVL,NICKEL 30,STETSON MUG,TACO,,4,10 BRACKET WK,
3,-28,,11,7,3,1,10,1&10,41,Open Field (-40 to 40),L,CONU,15,41 WIDE BUNCH ST,G0,,60 SOLID,"SWING SCREEN ST, RACE",DROPBACK,Complete,Pass,,,DEEP 1/3 WK,-5,LVL,30,BANDIT,,MOB,5M,10,
3,-25,OPENERS 2ND,9,1,0,0,10,0&10,44,Open Field (-40 to 40),R,CONU,15,32,G0,,60 SOLID,"AUBURN, MIAMI PUMP",DROPBACK,Incomplete,Pass,,,DEEP 1/3 WK,14,LVL,40,WEAK,,,4,MATCH,
1,0,,3,2,0,2,2,2&2-,-28,Coming Out (-20 to -39),R,CONU,15,32,G0,"3S YOYO, 2W BEND",70 SLIDE WK,"IZ BEND WK TRACK FLAT SCREEN, SEATTLE",RPO,Complete,Pass,,,CURL WK,8,UDM,40,TRIO,DBL CHASE,,5M,10,
2,-28,2 MIN,8,5,1,3,1,3&2-,-39,Coming Out (-20 to -39),M,CONU,15,41,G0,4S BEND,,IZ BEND ST OPT SEATTLE,RPO,Rush,Run,,,,1,LVL,NICKEL 30,STETSON,,,5M,10,
1,0,OPENERS 1ST,1,2,0,2,3,2&3-6,-34,Coming Out (-20 to -39),R,CONU,15,23,G0,2W 3W BEND,,IZ BEND WK TRACK FLAT SCREEN,RPO,Rush,Run,,,,0,UDM,40,TRIO,MIX,,5M,10,
4,-6,,10,2,0,2,3,2&3-6,-27,Coming Out (-20 to -39),L,CONU,15,41,G0,,,IZ ST LOCK OPT SEATTLE,RPO,Penalty,Pass,BUBBLE SCREEN ST (#),,CURL WK,10,SHER,NICKEL 30,STETSON,DBL CHASE,,5M,,10
2,-3,2 MIN,10,2,0,2,4,2&3-6,-30,Coming Out (-20 to -39),L,CONU,15,32,GW,,60 SOLID,"HOTEL, HOSS",QUICK,Complete,Pass,,,FLAT WK,5,MCGILL,30,BANDIT,,,3,TOONIE,
4,-15,2 MIN,16,2,0,2,4,2&3-6,-26,Coming Out (-20 to -39),L,CONU,15,32,G0,,60,IZ LOCK ST OPT HOTEL,RPO,Complete,Pass,HOTEL ST (# & LEVERAGE),FTF,CURL WK,5,MCGILL,40,EVEN,,MOW,6,BLACK PEEL,
3,-28,,11,5,2,1,10,1&10,55,Open Field (-40 to 40),L,CONU,15,32,G0,,,IZ ST READ HITCH SCREEN WK,RPO,,Run,HOTEL ST (#),,,20,LVL,40,STRONG,,,4,11,
3,-18,,13,2,0,2,5,2&3-6,-19,Backed Up (-1 to -19),R,CONU,15,32,G0,,60 SOLID,"Y DRIVE, SAIL",DROPBACK,Complete,Pass,,,SWING WK,7,MCGILL,40,OUT,RAT/QK,,4,GREEN CUTTER,
1,-7,,2,1,0,0,10,0&10,-36,Coming Out (-20 to -39),R,CONU,15,32,G0,3S BEND,,COUNTER BEND WK,RUN,,Run,,,,4,MCGILL,40,GAP,SCREAM,,4,SNIFF,
4,-2,2 MIN,13,3,1,2,5,2&3-6,-33,Coming Out (-20 to -39),R,CONU,15,32,GW,,60 SOLID,"Y DRIVE, JONES",DROPBACK,Complete,Pass,,,CURL ST,15,UDM,40,BANDIT,,,4,44 DC,
2,10,,6,1,0,0,10,0&10,-36,Coming Out (-20 to -39),R,CONU,15,32 TO 41,G0,,,OZ WK,RUN,Rush,Run,BUBBLE SCREEN ST (#),,,1,SHER,40,DEEP TRIO,,SAW,5S,34,
2,-18,,9,3,1,2,5,2&3-6,-25,Coming Out (-20 to -39),L,CONU,15,32,G0,1W ZIPPER,60 SLIDE STR,"FLORIDA, TWIX",QUICK,Penalty,Pass,,,,-5,MCGILL,30,BANDIT,,,3,YELLOW SWITCH,
1,-7,,2,1,0,0,10,0&10,-36,Coming Out (-20 to -39),R,CONU,15,32,G0,3S BEND,,IZ LOCK ST OPT HITCH SCREEN WK,RPO,Incomplete,Pass,SEATTLE ST (LEVERAGE),,FLAT ST,0,MCGILL,40,GAP SWITCH,,,4,ROCKSTAR,
4,-7,,12,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,,,IZ LOCK ST OPT ESSO,RPO,Rush,Run,,,,3,UDM,40,EVEN,"NQ, RAT",,4,44,
1,-10,,3,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,41,G0,,,OZ WK,RUN,,Run,BUBBLE SCREEN ST (#),,,3,MCGILL,30,BANDIT,,SMURF,5S,ORANGE,
2,-21,2 MIN,10,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,G0,,60 SOLID,"Y DRIVE, JONES",DROPBACK,Complete,Pass,,,FLAT WK,-10,MCGILL,30,BANDIT,,,3,TEFFLON FLY,
4,-16,2 MIN,17,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32 WIDE BUNCH ST,G0,2S ZOOM,60 SOLID,"CHOPPER, JONES",DROPBACK,"Sack, Fumble",Pass,,,,-20,MCGILL,40,IN,A,,4,HALO,
1,-7,,3,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,2W BEND,,IZ BEND WK,RUN,Rush,Run,BUBBLE SCREEN ST (#),,,9,LVL,30,BANDIT,,,4,11,
4,-9,,11,3,1,1,10,1&10,-39,Coming Out (-20 to -39),R,CONU,15,32,G0,,PA 60,"RACE R-HOTEL, AUBURN TRADE",PA POCKET,Complete,Pass,,,HOOK ST,60,UDM,40,EVEN,,,4,44,
2,-17,,6,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,,,IZ LOCK ST OPT HOTEL,RPO,Incomplete,Pass,,,CURL WK,0,LVL,30,BANDIT,,,5W,10,
2,-18,,7,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,1W ZIP,,IZ ST READ FLORIDA,RPO,Incomplete,Pass,,,FLAT WK,0,LVL,30,BANDIT,,SAW,6,0,
3,-18,,13,1,0,0,10,0&10,-14,Backed Up (-1 to -19),R,CONU,15,32,G0,,,IZ LOCK ST OPT HOTEL,RPO,Complete,Pass,,,CURL WK,5,MCGILL,40,IN,A,,4,GREEN CUTTER,
1,-3,,2,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,23,G0,,,IZ LOCK WK OPT ZOOM,RPO,Rush,Run,,,,11,SHER,40,STETSON,,,5M,35 DC,
2,0,2 MIN,8,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,,,DRAW WK,SCREEN/DRAW,Rush,Run,,,,11,SHER,40,STETSON JET,,,3,36 DC,
4,5,,14,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,23,G0,,PA 60,"AUBURN, JONES R-UNDER",PA POCKET,Incomplete,Pass,,,CURL ST,0,SHER,NICKEL 40,IN,,,4,35,
4,5,,15,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,3S JET,,JET SWEEP WK,RUN,Rush,Run,,,,3,SHER,NICKEL 40,OUT,,,4,34,
2,-3,,4,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,G0,,,IZ ST,RUN,Rush,Run,BUBBLE ST (#),,,0,UDM,40,EVEN,,,4,44 WC,
2,-3,2 MIN,6,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,3S BEND,PA 60,HITCH SCREEN WK,PERIMETER SCREEN,Complete,Pass,,,FLAT WK,9,UDM,40,TRIO,,,6,42,
3,-18,,13,3,1,1,10,1&10,-26,Coming Out (-20 to -39),R,CONU,15,32,G0,,60 SLIDE STR,"Y DRIVE, AUBURN TRADE",DROPBACK,Complete,Pass,,,SEAM WK,30,MCGILL,40,IN,WK BANG,,4,DEUCES,
4,-2,,10,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32 WIDE BUNCH ST,G0,,PA 60,W DRIVE Y,DROPBACK,Incomplete,Pass,,,HOOK ST,0,UDM,40,EVEN,WHACK,,5M,10,
1,-5,,2,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,23,G0,1W ZIPPER,60 SLIDE STR,"HANK R-DIG, COD TRADE",DROPBACK,Complete,Pass,,,FLAT ST,7,LVL,40,STRONG,PIRATE,,4,35,
1,-3,OPENERS 1ST,1,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,41,G0,,,IZ LOCK ST OPT SEATTLE,RPO,,Run,BUBBLE SCREEN ST (#),,,0,SHER,NICKEL 30,EVEN,WK BANG,,4,35 WC,
2,-6,,4,1,0,0,10,0&10,-35,Coming Out (-20 to -39),R,CONU,15,32,G0,,,IZ LOCK ST OPT ZOOM,RPO,,Run,BUBBLE SCREEN ST (#),,,5,SHER,NICKEL 30,EVEN,WK BANG,,4,44,
3,-3,,12,1,0,0,10,0&10,-21,Coming Out (-20 to -39),R,CONU,15,32,G0,2W LEAD,,IZ LOCK ST BLAST OPT SEATTLE,RPO,,Run,HOTEL ST (# & LEVERAGE),,,-1,MCGILL,40,OUT,,,4,ROTATE SWITCH,
2,0,,7,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,G0,,,G LEAD ST OPT ESSO,RPO,,Run,FLORIDA ST (# & LEVERAGE),,,14,MCGILL,40,GAP SWITCH,,,4,SNIFF ROB,
2,-3,2 MIN,8,1,0,0,10,0&10,-35,Coming Out (-20 to -39),L,CONU,15,32,GW,,60 SOLID,RACE R-FLAT,DROPBACK,Scramble,Pass,,,,9,MCGILL,40,GAP SWITCH,,,4,ROTATE SWITCH,
4,-7,2 MIN,12,3,2,1,10,1&10,-36,Coming Out (-20 to -39),L,CONU,15,32,G0,1W ZIP,50 SOLID,"Z-VIRGINIA, APACHE TWEAK",DROPBACK,Sack,Pass,,,,-5,UDM,40,EVEN,"NQ, TAR",,4,44 WC,
2,-3,2 MIN,6,3,0,2,6,2&3-6,-39,Coming Out (-20 to -39),R,CONU,15,32,GW,,60 SOLID,CHOPPER,DROPBACK,Interception,Pass,,,CURL ST,0,UDM,40,EVEN,"RAT, QAN",,4,44 DC,
2,3,,6,2,0,2,6,2&3-6,-33,Coming Out (-20 to -39),R,CONU,15,32,GS,,60 SOLID,"NASCAR TWEAK Z-IN, JONES",DROPBACK,Penalty,Pass,,,FLAT WK,0,MCGILL,40,WILLY,,WILLY,5M,WILLY,
3,-3,,12,2,0,2,11,2&7+,-20,Coming Out (-20 to -39),R,CONU,15,23,GS,,60 SOLID,RACE R-FLAT,QUICK,Complete,Pass,,,SEAM WK,,MCGILL,30,BANDIT,,ST/WK,5S,HOLD,
1,-3,,3,2,0,2,6,2&3-6,-20,Coming Out (-20 to -39),R,CONU,15,32,G0,,50 SWING STR,"T SWING ST, JAILBREAK WK",PERIMETER SCREEN,Complete,Pass,,,SWING ST,2,SHER,NICKEL 30,OUT,,,4,35 TOUGH WK,
1,0,,3,3,1,1,10,1&10,-36,Coming Out (-20 to -39),R,CONU,15,32,G0,"FREEZE,2W BEND",,IZ BEND WK,RUN,Rush,Run,"BUBBLE SCREEN ST (#), SEATTLE WK (TRACK & #)",,,4,UDM,40,BANDIT,,SMURF,5W,43,
3,-18,,14,3,1,2,6,2&3-6,23,Field Goal Fringe (39 to 21),L,CONU,15,32,G0,,60 SOLID,"AUBURN, OKLAHOMA",DROPBACK,Complete,Pass,,,CURL ST,9,MCGILL,40,RS DEEP,,HAMMER,3,DROP,
4,-6,,10,3,1,1,10,1&10,-36,Coming Out (-20 to -39),L,CONU,15,41,G0,,,IZ ST READ MIAMI,RPO,,Run,BUBBLE SCREEN ST (#),,,1,SHER,NICKEL 30,OUT,"ATTACK, KNIFE",,4,44 DC,
